module_idx,module_name,category,source,description
2468,Mathlib.CategoryTheory.DifferentialObject,CategoryTheory,name_tokens,category theory category theory differential object
2469,Mathlib.CategoryTheory.DinatTrans,CategoryTheory,name_tokens,category theory category theory dinat trans
2470,Mathlib.CategoryTheory.Discrete.Basic,CategoryTheory,name_tokens,category theory category theory discrete basic
2471,Mathlib.CategoryTheory.Discrete.StructuredArrow,CategoryTheory,name_tokens,category theory category theory discrete structured arrow
2472,Mathlib.CategoryTheory.Discrete.SumsProducts,CategoryTheory,name_tokens,category theory category theory discrete sums products
2473,Mathlib.CategoryTheory.Distributive.Cartesian,CategoryTheory,name_tokens,category theory category theory distributive cartesian
2474,Mathlib.CategoryTheory.Distributive.Monoidal,CategoryTheory,name_tokens,category theory category theory distributive monoidal
2475,Mathlib.CategoryTheory.EffectiveEpi.Basic,CategoryTheory,name_tokens,category theory category theory effective epi basic
2476,Mathlib.CategoryTheory.EffectiveEpi.Comp,CategoryTheory,name_tokens,category theory category theory effective epi comp
2477,Mathlib.CategoryTheory.EffectiveEpi.Coproduct,CategoryTheory,name_tokens,category theory category theory effective epi coproduct
2478,Mathlib.CategoryTheory.EffectiveEpi.Enough,CategoryTheory,name_tokens,category theory category theory effective epi enough
2479,Mathlib.CategoryTheory.EffectiveEpi.Extensive,CategoryTheory,name_tokens,category theory category theory effective epi extensive
2480,Mathlib.CategoryTheory.EffectiveEpi.Preserves,CategoryTheory,name_tokens,category theory category theory effective epi preserves
2481,Mathlib.CategoryTheory.EffectiveEpi.RegularEpi,CategoryTheory,name_tokens,category theory category theory effective epi regular epi
2482,Mathlib.CategoryTheory.Elements,CategoryTheory,name_tokens,category theory category theory elements
2483,Mathlib.CategoryTheory.Elementwise,CategoryTheory,name_tokens,category theory category theory elementwise
2484,Mathlib.CategoryTheory.Endofunctor.Algebra,CategoryTheory,name_tokens,category theory category theory endofunctor algebra
2485,Mathlib.CategoryTheory.Endomorphism,CategoryTheory,name_tokens,category theory category theory endomorphism
2486,Mathlib.CategoryTheory.Enriched.Basic,CategoryTheory,name_tokens,category theory category theory enriched basic
2487,Mathlib.CategoryTheory.Enriched.EnrichedCat,CategoryTheory,name_tokens,category theory category theory enriched enriched cat
